Unit,Unit Name,ID,Text,Comment
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,AppDisplayName,EventReporter Agent,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_ApplicationIdentityTitle,Application identity,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_ExecutableFormat,Executable: {0},NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OnlineResourcesTitle,Online resources,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenOnlineDocs,Open online docs,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenProductSite,Open product site,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenSupport,Open support,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenedOnlineDocs,Opened online docs.,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenedProductSite,Opened product site.,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenedSupport,Opened support site.,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_ProductFormat,Product: {0},NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_StatusMessage,"Use the product, documentation, and support links below for this client.",NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_Title,Help / About,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_UnknownVersion,unknown,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_VersionFormat,Current version: {0},NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_WindowTitleFormat,Window title: {0},NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_ApplyButton,Apply language,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_ClientLanguageHeader,Client language,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_CurrentSelectionFormat,Selected language: {0} | Current UI culture: {1},NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_DisplayLanguageTitle,Display language,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_IntroFormat,Choose the display language for this {0} client.,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_InvariantCulture,invariant,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_ResourceCoverageText,"This client includes language resources for configuration labels, option text, and shared load/save messages in English, German, Spanish, French, Italian, Portuguese, Estonian, and Japanese. System default follows Windows language preferences.",NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Language_ResourceCoverageTitle,Language resource coverage,NG .resw source; locale=en-US; revision=7d81679f19f5fdaf5c8becaed58204869d1ac857
