Unit,Unit Name,ID,Text,Comment
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,AppDisplayName,EventReporter Agent,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_ApplicationIdentityTitle,Identité de l'application,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_ExecutableFormat,Nom de sortie hérité : {0},Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OnlineResourcesTitle,Ressources en ligne,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenOnlineDocs,Ouvrir la documentation en ligne,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenProductSite,Ouvrir le site du produit,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenSupport,Ouvrir le support,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenedOnlineDocs,Documentation en ligne ouverte.,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenedProductSite,Site du produit ouvert.,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_OpenedSupport,Site de support ouvert.,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_ProductFormat,Produit : {0},Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_StatusMessage,"Utilisez les liens produit, documentation et support ci-dessous pour ce client.",Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_Title,Aide / À propos,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_UnknownVersion,inconnue,Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
CFGEvntSLog.WinUI/Strings/Resources,CFGEvntSLog.WinUI Resources,Help_VersionFormat,Version actuelle : {0},Adiscon User Interface .resw source; locale=fr-FR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
