Unit,Unit Name,ID,Text,Comment
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,AppDisplayName,WinSyslog,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_ApplicationIdentityTitle,Identidade do aplicativo,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_ExecutableFormat,Nome de saída legado: {0},Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OnlineResourcesTitle,Recursos online,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OpenOnlineDocs,Abrir documentação online,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OpenProductSite,Abrir site do produto,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OpenSupport,Abrir suporte,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OpenedOnlineDocs,Documentação online aberta.,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OpenedProductSite,Site do produto aberto.,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_OpenedSupport,Site de suporte aberto.,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_ProductFormat,Produto: {0},Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_StatusMessage,"Use os links de produto, documentação e suporte abaixo para este cliente.",Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_Title,Ajuda / Sobre,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
WINSyslogClient.WinUI/Strings/Resources,WINSyslogClient.WinUI Resources,Help_UnknownVersion,desconhecida,Adiscon User Interface .resw source; locale=pt-BR; revision=edd9fe10d4a120194e4a0a1e60a5d04d661b79ab
