Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 Milliseconds,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 milliseconds,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 millisecond,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 Milliseconds,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 Milliseconds,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 milliseconds,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 milliseconds,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Custom --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (disabled),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 Minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 Minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 hour,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 Minute,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 second,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 hours,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,hours,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,milliseconds,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minutes,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,seconds,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,Client Version:,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,More Information at,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,Service Version:,
ClientCore/frmAboutTemplate,About Template Form,lblServiceVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblTitle.Text,Über [Product],
ClientCore/frmAddRule,Add Rule Form,$this.Text,Add Rule,
ClientCore/frmAddRule,Add Rule Form,cmdCancel.Text,Abbrechen,
ClientCore/frmAddRule,Add Rule Form,cmdOK.Text,OK,
ClientCore/frmAddRule,Add Rule Form,frmAddRule.Text,Regel hinzufügen,
ClientCore/frmAddRule,Add Rule Form,lblAfterRuleAdded.Text,Nachdem die Regel hinzugefügt wurde...,
ClientCore/frmAddRule,Add Rule Form,lblExample.Text,Zum Beispiel Meine Regel oder Regel1,
ClientCore/frmAddRule,Add Rule Form,lblName.Text,Name für neue Regel eingeben,
ClientCore/frmAddRule,Add Rule Form,lblTitle.Text,Füge neue Regel hinzu ...,
ClientCore/frmAddRule,Add Rule Form,rdAddActions.Text,Füge ausgewählte Aktionen zur Regel hinzu.,
ClientCore/frmAddRule,Add Rule Form,rdNoActions.Text,Keine Aktionen hinzufügen.,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleName,"Fehler, Regel-Name",
ClientCore/frmAddRule,Add Rule Form,szErrorRuleNameMsg,"Fehler, Regel-Name zu kurz.",
ClientCore/frmAddRuleSet,Add Rule Set Form,$this.Text,Add RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdCancel.Text,Abbrechen,
