Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 milisegundos,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 milisegundos,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 milisegundo,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 milisegundos,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 milisegundos,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 milisegundos,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 milisegundos,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Costumbre --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (deshabilitado),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 minutos,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 minutos,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minutos,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 hora,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 minuto,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 segundo,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 horas,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,horas,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,milisegundos,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minutos,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,segundos,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,Versión del cliente:,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,Más información en,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,Versión del servicio:,
ClientCore/frmAboutTemplate,About Template Form,lblServiceVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblTitle.Text,Acerca de [Product],
ClientCore/frmAddRule,Add Rule Form,$this.Text,Add Rule,
ClientCore/frmAddRule,Add Rule Form,cmdCancel.Text,Cancelar,
ClientCore/frmAddRule,Add Rule Form,cmdOK.Text,Aceptar,
ClientCore/frmAddRule,Add Rule Form,frmAddRule.Text,Añadir Rule,
ClientCore/frmAddRule,Add Rule Form,lblAfterRuleAdded.Text,Tras añadir la Rule...,
ClientCore/frmAddRule,Add Rule Form,lblExample.Text,Ej: MyRule o Rule1,
ClientCore/frmAddRule,Add Rule Form,lblName.Text,Nombre de la nueva Rule,
ClientCore/frmAddRule,Add Rule Form,lblTitle.Text,Añadir Rule,
ClientCore/frmAddRule,Add Rule Form,rdAddActions.Text,Añadir Actions seleccionadas,
ClientCore/frmAddRule,Add Rule Form,rdNoActions.Text,Sin Actions por ahora,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleName,Error nombre Rule,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleNameMsg,"Error, el nombre de la Rule es demasiado corto.",
ClientCore/frmAddRuleSet,Add Rule Set Form,$this.Text,Add RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdCancel.Text,Cancelar,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdOK.Text,Aceptar,
ClientCore/frmAddRuleSet,Add Rule Set Form,frmAddRuleSet.Text,Añadir RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblAfterRuleSet.Text,Tras añadir el RuleSet...,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblExample.Text,Ej: MyRuleSet o RuleSet1,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblName.Text,Nombre del nuevo RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblTitle.Text,Añadir RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdNoRule.Text,No agregue un Rule todavía.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdRulePerAction.Text,Agregue un Rule para cada uno de estos Action.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdSingleRule.Text,Agregue un único Rule que incluya estos Action.,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetName,Error nombre RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameDupl,Ya existe un RuleSet con ese nombre.,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameMsg,"Error, el nombre del RuleSet es demasiado corto.",
ClientCore/frmClientConfig,Client Config Form,$this.Text,Options,
ClientCore/frmClientConfig,Client Config Form,btnValidateUrl.Text,Validar,
ClientCore/frmClientConfig,Client Config Form,chkAlwaysReloadApplication.Text,Preguntar siempre si recargar la aplicación al cambiar el idioma,
ClientCore/frmClientConfig,Client Config Form,chkAutoConfigReloadFromUrl.Text,Recargar automáticamente la configuración desde URL (se requiere https),
ClientCore/frmClientConfig,Client Config Form,chkAutoSaveWarning.Text,Suprimir mensaje de advertencia de guardado automático,
ClientCore/frmClientConfig,Client Config Form,chkAutoSortDataGrids.Text,Ordenar automáticamente las cuadrículas de datos: ,
ClientCore/frmClientConfig,Client Config Form,chkLoadMibsDescription.Text,Cargar descripción de MIBs SNMP (ralentiza el navegador OID la primera vez),
ClientCore/frmClientConfig,Client Config Form,chkServiceWarning.Text,Suprimir advertencia cuando se elimina un servicio,
ClientCore/frmClientConfig,Client Config Form,chkSplitConfigurationForRuleSets.Text,Crear archivos de configuración individuales para RuleSets,
ClientCore/frmClientConfig,Client Config Form,chkSplitConfigurationForServices.Text,Crear archivos de configuración individuales para Servicios,
ClientCore/frmClientConfig,Client Config Form,cmdBrowse.Text,Examinar,
ClientCore/frmClientConfig,Client Config Form,cmdBrowseFileConfig.Text,Browse,
ClientCore/frmClientConfig,Client Config Form,cmdBrowseFileData.Text,Browse,
