Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 millisekundit,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 millisekundit,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 millisekund,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 millisekundit,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 millisekundit,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 millisekundit,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 millisekundit,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Kohandatud --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (keelatud),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 minutit,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 sekundit,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 minutit,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 sekundit,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 sekundit,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minutit,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 tund,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 minut,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 sekund,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 tundi,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 sekundit,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 sekundit,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 tundi,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 tundi,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 tundi,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 tundi,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,tundi,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,millisekundid,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minutit,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,sekundit,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,Kliendi versioon:,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,Rohkem infot aadressil,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,Teenuse versioon:,
ClientCore/frmAboutTemplate,About Template Form,lblServiceVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblTitle.Text,Teave [Product] kohta,
ClientCore/frmAddRule,Add Rule Form,$this.Text,Add Rule,
ClientCore/frmAddRule,Add Rule Form,cmdCancel.Text,Tühista,
ClientCore/frmAddRule,Add Rule Form,cmdOK.Text,OK,
ClientCore/frmAddRule,Add Rule Form,frmAddRule.Text,Lisa reegel,
ClientCore/frmAddRule,Add Rule Form,lblAfterRuleAdded.Text,Pärast reegli lisamist...,
ClientCore/frmAddRule,Add Rule Form,lblExample.Text,Näiteks MinuReegel või Reegel1,
ClientCore/frmAddRule,Add Rule Form,lblName.Text,Sisestage uue reegli nimi,
ClientCore/frmAddRule,Add Rule Form,lblTitle.Text,Uue reegli lisamine...,
ClientCore/frmAddRule,Add Rule Form,rdAddActions.Text,Lisage valitud toimingud reeglile.,
ClientCore/frmAddRule,Add Rule Form,rdNoActions.Text,Ärge veel toiminguid lisage.,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleName,Viga reegli nimes,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleNameMsg,"Viga, reegli nimi on liiga lühike.",
ClientCore/frmAddRuleSet,Add Rule Set Form,$this.Text,Add RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdCancel.Text,Tühista,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdOK.Text,OK,
ClientCore/frmAddRuleSet,Add Rule Set Form,frmAddRuleSet.Text,Lisa reeglistik,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblAfterRuleSet.Text,Pärast reeglistiku lisamist...,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblExample.Text,Näiteks MinuReeglistik või Reeglistik1,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblName.Text,Sisestage uue reeglistiku nimi,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblTitle.Text,Uue reeglistiku lisamine...,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdNoRule.Text,Ärge veel reeglit lisage.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdRulePerAction.Text,Lisage igale sellisele toimingule reegel.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdSingleRule.Text,Lisage üks reegel koos nende toimingutega.,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetName,Viga reeglistiku nimes,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameDupl,"Viga, sama nimega reeglistik on juba olemas. Määrake teine reeglistiku nimi.",
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameMsg,"Viga, reeglistiku nimi on liiga lühike.",
ClientCore/frmClientConfig,Client Config Form,$this.Text,Options,
ClientCore/frmClientConfig,Client Config Form,btnValidateUrl.Text,Kinnitage,
ClientCore/frmClientConfig,Client Config Form,chkAlwaysReloadApplication.Text,Keele muutmisel paluge alati rakendus uuesti laadida,
ClientCore/frmClientConfig,Client Config Form,chkAutoConfigReloadFromUrl.Text,Laadi konfiguratsioon automaatselt uuesti URL-ist (vajalik https),
ClientCore/frmClientConfig,Client Config Form,chkAutoSaveWarning.Text,Tühista automaatse salvestamise hoiatusteade,
ClientCore/frmClientConfig,Client Config Form,chkAutoSortDataGrids.Text,Andmevõrkude automaatne sortimine:,
ClientCore/frmClientConfig,Client Config Form,chkLoadMibsDescription.Text,Laadi SNMP Mibs-i kirjeldus (aeglustab OID-brauseri esimest korda),
ClientCore/frmClientConfig,Client Config Form,chkServiceWarning.Text,Teenuse kustutamise korral hoiatus välja lülitada,
ClientCore/frmClientConfig,Client Config Form,chkSplitConfigurationForRuleSets.Text,Looge reeglistike jaoks eraldi konfiguratsioonifailid,
ClientCore/frmClientConfig,Client Config Form,chkSplitConfigurationForServices.Text,Looge teenuste jaoks eraldi konfiguratsioonifailid,
ClientCore/frmClientConfig,Client Config Form,cmdBrowse.Text,Sirvige,
ClientCore/frmClientConfig,Client Config Form,cmdBrowseFileConfig.Text,Browse,
ClientCore/frmClientConfig,Client Config Form,cmdBrowseFileData.Text,Browse,
ClientCore/frmClientConfig,Client Config Form,cmdCancel.Text,Tühista,
ClientCore/frmClientConfig,Client Config Form,cmdOK.Text,OK,
ClientCore/frmClientConfig,Client Config Form,lblAutoConfigReloadFromUrlSleepTime.Text,Kontrolli intervall:,
ClientCore/frmClientConfig,Client Config Form,lblBaseKey.Text,Põhiregistri võti:,
ClientCore/frmClientConfig,Client Config Form,lblConfigFilename.Text,Konfiguratsiooni failinimi:,
ClientCore/frmClientConfig,Client Config Form,lblDataDirectory.Text,Andmekataloog:,
ClientCore/frmClientConfig,Client Config Form,lblDataKey.Text,Andmeregistri võti:,
ClientCore/frmClientConfig,Client Config Form,lblLanguage.Text,Valige oma keel:,
ClientCore/frmClientConfig,Client Config Form,lblRootKey.Text,Juurregistri võti:,
ClientCore/frmClientConfig,Client Config Form,rbFile.Text,Laadige konfiguratsioon failist,
ClientCore/frmClientConfig,Client Config Form,rbRegistry.Text,Laadige konfiguratsioon registrist,
ClientCore/frmClientConfig,Client Config Form,szAscending,Kasvav,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlInfo,Automaatne konfiguratsiooni uuesti laadimine,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlInfoFull,Automaatse konfiguratsiooni taaslaadimise atribuute on muudetud. Muudatuste rakendamiseks tuleb teenus taaskäivitada.,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlSleepTimeError,Sisestatud number on kehtetu. Sisestage kehtiv nu-kontrolli intervall või valige see loendist.,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlSleepTimeTitle,Vale kontrollintervall,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChanged,Konfiguratsiooni asukoha sätteid on muudetud.,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChangedFull1,Kas soovite kopeerida praeguse laaditud konfiguratsiooni uude asukohta?,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChangedFull2,PALUN OTSUSTAGE HOOLIKALT! Kõik olemasolevad konfiguratsioonid uues asukohas KIRJATAKSE ÜLE!,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChangedFull3,Konfiguratsiooniklient laaditakse uuesti uuest asukohast. Taustateenus tuleb taaskäivitada enne uue konfiguratsiooniallika kasutamist. Kasutage pärast kliendi taaslaadimist tööriistaribal käsku Taaskäivita teenus.,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationServiceRestartInfo,Konfiguratsiooni asukoht muudetud,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationServiceRestartInfoFull,"Konfiguratsiooniklient laaditakse uuesti uuest asukohast. Taustateenus peab taaskäivitama, enne kui see kasutab uut konfiguratsiooniallikat. Kasutage pärast kliendi taaslaadimist tööriistaribal käsku Taaskäivita teenus.",
ClientCore/frmClientConfig,Client Config Form,szDescending,Langevad,
ClientCore/frmClientConfig,Client Config Form,szErrorInvalidUrl,"Viga, URL on kehtetu.",
ClientCore/frmClientConfig,Client Config Form,szErrorUrlDownloadFailed,URL-i allalaadimine ebaõnnestus veaga:,
ClientCore/frmClientConfig,Client Config Form,szErrorUrlInvalid,URL ei tundu olevat kehtiv URL.,
ClientCore/frmClientConfig,Client Config Form,szErrorUrlNotSecure,"URL peab algama https-iga, toetatakse ainult turvalist https-protokolli.",
ClientCore/frmClientConfig,Client Config Form,szValidateUrlFailure,URL-i valideerimisprotsess ebaõnnestus:,
ClientCore/frmClientConfig,Client Config Form,szValidateUrlSuccess,URL on edukalt kinnitatud.,
ClientCore/frmClientConfig,Client Config Form,szValidateUrlTitle,URL-i kinnitamise tulemused,
ClientCore/frmClientConfig,Client Config Form,tpConfigAccess.Text,Konfigureeri juurdepääs,
ClientCore/frmClientConfig,Client Config Form,tpGeneral.Text,Üldine,
ClientCore/frmConfig,Config Form,$this.Text,frmConfig,
ClientCore/frmConfig,Config Form,bCacheRandomDelay,Luba juhuslik ooteaja viivitus,
ClientCore/frmConfig,Config Form,bCacheWaittimeDoubling,Kahekordne ooteaeg pärast iga korduskatset,
ClientCore/frmConfig,Config Form,btnBrowse,Sirvige,
ClientCore/frmConfig,Config Form,btnCreateDB,Loo andmebaas,
ClientCore/frmConfig,Config Form,btnPostProcessImport,Import Rules,
ClientCore/frmConfig,Config Form,btnPostProcessSave,Ekspordi Rules,
ClientCore/frmConfig,Config Form,btnRefresh,Värskenda,
ClientCore/frmConfig,Config Form,btnVerifyDB,Kinnitage andmebaas,
ClientCore/frmConfig,Config Form,lbl_afinet,IPv4,
ClientCore/frmConfig,Config Form,lbl_afinet6,IPv6,
ClientCore/frmConfig,Config Form,lbl_nTimeMode_localtime,Kohalik aeg,
ClientCore/frmConfig,Config Form,lbl_nTimeMode_utc,Universaalne koordineeritud aeg (UTC/GMT),
ClientCore/frmConfig,Config Form,lbl_prottcp,TCP,
ClientCore/frmConfig,Config Form,lbl_protudp,UDP,
ClientCore/frmConfig,Config Form,lbl_snmpver1,SNMP Ainult versioon 1,
ClientCore/frmConfig,Config Form,lbl_snmpver2,SNMP Ainult versioon 2c,
ClientCore/frmConfig,Config Form,lbl_snmpverall,Kõik toetatud versioonid,
ClientCore/frmConfig,Config Form,nCacheRandomDelayTime,Maksimaalne juhuslik viivitus,
ClientCore/frmConfig,Config Form,nCacheWaittimeDoublingTimes,Piirake ooteaega kahekordistades,
