Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 millisecondes,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 millisecondes,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 milliseconde,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 millisecondes,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 millisecondes,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 millisecondes,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 millisecondes,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Personnalisé --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (désactivé),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 secondes,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 secondes,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 secondes,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 heure,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 minute,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 seconde,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 heures,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 secondes,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 secondes,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 heures,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 heures,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 heures,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 heures,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,heures,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,millisecondes,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minutes,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,secondes,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,Version client :,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,Plus d'informations sur,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,Version des Services :,
ClientCore/frmAboutTemplate,About Template Form,lblServiceVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblTitle.Text,À propos de [Product],
ClientCore/frmAddRule,Add Rule Form,$this.Text,Add Rule,
ClientCore/frmAddRule,Add Rule Form,cmdCancel.Text,Annuler,
ClientCore/frmAddRule,Add Rule Form,cmdOK.Text,OK,
ClientCore/frmAddRule,Add Rule Form,frmAddRule.Text,Ajouter une Rule,
ClientCore/frmAddRule,Add Rule Form,lblAfterRuleAdded.Text,Une fois la Rule ajoutée...,
ClientCore/frmAddRule,Add Rule Form,lblExample.Text,Par exemple MyRule ou Rule1,
ClientCore/frmAddRule,Add Rule Form,lblName.Text,Entrez le nom de la nouvelle Rule,
ClientCore/frmAddRule,Add Rule Form,lblTitle.Text,Ajout d'une nouvelle Rule...,
ClientCore/frmAddRule,Add Rule Form,rdAddActions.Text,Ajoutez les Actions sélectionnées à la Rule.,
ClientCore/frmAddRule,Add Rule Form,rdNoActions.Text,N'ajoutez aucune Action pour l'instant.,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleName,Nom de la Rule d'erreur,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleNameMsg,"Erreur, le nom de la Rule est trop court.",
ClientCore/frmAddRuleSet,Add Rule Set Form,$this.Text,Add RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdCancel.Text,Annuler,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdOK.Text,OK,
ClientCore/frmAddRuleSet,Add Rule Set Form,frmAddRuleSet.Text,Ajouter un RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblAfterRuleSet.Text,Une fois le RuleSet ajouté...,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblExample.Text,Par exemple MyRuleSet ou RuleSet1,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblName.Text,Entrez le nom du nouveau RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblTitle.Text,Ajout d'un nouveau RuleSet...,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdNoRule.Text,N'ajoutez pas encore de Rule.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdRulePerAction.Text,Ajoutez une Rule pour chacune de ces Actions.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdSingleRule.Text,Ajoutez une seule Rule incluant ces Actions.,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetName,Nom du RuleSet d'erreur,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameDupl,Erreur : un RuleSet portant le même nom existe déjà. Veuillez spécifier un autre nom de RuleSet.,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameMsg,"Erreur, le nom du RuleSet est trop court.",
ClientCore/frmClientConfig,Client Config Form,$this.Text,Options,
ClientCore/frmClientConfig,Client Config Form,btnValidateUrl.Text,Valider,
ClientCore/frmClientConfig,Client Config Form,chkAlwaysReloadApplication.Text,Demandez toujours à recharger l'application en cas de changement de langue,
ClientCore/frmClientConfig,Client Config Form,chkAutoConfigReloadFromUrl.Text,Recharger automatiquement la configuration à partir de l'URL (https requis),
ClientCore/frmClientConfig,Client Config Form,chkAutoSaveWarning.Text,Supprimer le message d'avertissement de sauvegarde automatique,
