Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 millisecondi,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 millisecondi,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 millisecondo,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 millisecondi,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 millisecondi,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 millisecondi,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 millisecondi,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Personalizzato --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (disabilitato),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 minuti,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 secondi,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 minuti,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 secondi,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 secondi,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minuti,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 ora,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 minuto,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 secondo,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 ore,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 secondi,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 secondi,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 ore,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 ore,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 ore,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 ore,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,ore,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,millisecondi,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minuti,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,secondi,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,Versione cliente:,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,Maggiori informazioni su,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,Versione del servizio:,
