Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Custom --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (disabled),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 Minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 Minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minutes,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 hour,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 Minute,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 second,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 seconds,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 hours,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 hours,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,hours,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,ミリ秒,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minutes,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,seconds,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,クライアント バージョン:,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,詳細は,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,サービス バージョン:,
ClientCore/frmAboutTemplate,About Template Form,lblServiceVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblTitle.Text,[Product]について,
ClientCore/frmAddRule,Add Rule Form,$this.Text,Add Rule,
ClientCore/frmAddRule,Add Rule Form,cmdCancel.Text,キャンセル,
ClientCore/frmAddRule,Add Rule Form,cmdOK.Text,OK,
ClientCore/frmAddRule,Add Rule Form,frmAddRule.Text,ルールを追加,
ClientCore/frmAddRule,Add Rule Form,lblAfterRuleAdded.Text,ルールの作成後...,
ClientCore/frmAddRule,Add Rule Form,lblExample.Text,例；マイルールやルール１など,
ClientCore/frmAddRule,Add Rule Form,lblName.Text,ルール名を入力してください,
ClientCore/frmAddRule,Add Rule Form,lblTitle.Text,新規でルールを作成します ...,
ClientCore/frmAddRule,Add Rule Form,rdAddActions.Text,選択したアクションをルールに作成,
ClientCore/frmAddRule,Add Rule Form,rdNoActions.Text,アクションは作成しない,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleName,ルール名のエラー,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleNameMsg,エラー；ルール名が短すぎます,
ClientCore/frmAddRuleSet,Add Rule Set Form,$this.Text,Add RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdCancel.Text,キャンセル,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdOK.Text,OK,
ClientCore/frmAddRuleSet,Add Rule Set Form,frmAddRuleSet.Text,ルールセットを追加,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblAfterRuleSet.Text,ルールセットの作成後...,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblExample.Text,例；マイルールセットやルールセット１など,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblName.Text,ルールセット名を入力してください,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblTitle.Text,新規でルールセットを作成します ...,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdNoRule.Text,ルールは作成しない,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdRulePerAction.Text,アクション別にルールを作成,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdSingleRule.Text,選択したアクションを一つに纏めたルールを作成,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetName,ルールセット名のエラー,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameDupl,エラー；同じ名前のルールセットが存在します 別の名前を入力してください,
ClientCore/frmAddRuleSet,Add Rule Set Form,szErrorRuleSetNameMsg,エラー；ルール名が短すぎます,
ClientCore/frmClientConfig,Client Config Form,$this.Text,Options,
ClientCore/frmClientConfig,Client Config Form,btnValidateUrl.Text,検証,
ClientCore/frmClientConfig,Client Config Form,chkAlwaysReloadApplication.Text,言語変更時にリロード確認の画面を表示させる,
ClientCore/frmClientConfig,Client Config Form,chkAutoConfigReloadFromUrl.Text,URLから設定の自動リロード（要https）,
ClientCore/frmClientConfig,Client Config Form,chkAutoSaveWarning.Text,オートセーブの警告を表示させない,
ClientCore/frmClientConfig,Client Config Form,chkAutoSortDataGrids.Text,データグリッドを自動的にソート:,
ClientCore/frmClientConfig,Client Config Form,chkLoadMibsDescription.Text,SNMP MIBs ディスクリプションの読み込み,
ClientCore/frmClientConfig,Client Config Form,chkServiceWarning.Text,サービスの削除時に警告を表示させない,
ClientCore/frmClientConfig,Client Config Form,chkSplitConfigurationForRuleSets.Text,ルールセットの設定ファイルを個々に作成,
ClientCore/frmClientConfig,Client Config Form,chkSplitConfigurationForServices.Text,サービスの設定ファイルを個々に作成,
ClientCore/frmClientConfig,Client Config Form,cmdBrowse.Text,参照,
ClientCore/frmClientConfig,Client Config Form,cmdBrowseFileConfig.Text,Browse,
ClientCore/frmClientConfig,Client Config Form,cmdBrowseFileData.Text,Browse,
ClientCore/frmClientConfig,Client Config Form,cmdCancel.Text,キャンセル,
ClientCore/frmClientConfig,Client Config Form,cmdOK.Text,OK,
ClientCore/frmClientConfig,Client Config Form,lblAutoConfigReloadFromUrlSleepTime.Text,チェック間隔:,
ClientCore/frmClientConfig,Client Config Form,lblBaseKey.Text,ベースのレジストリキー:,
ClientCore/frmClientConfig,Client Config Form,lblConfigFilename.Text,ファイル名の設定:,
ClientCore/frmClientConfig,Client Config Form,lblDataDirectory.Text,データディレクトリ:,
ClientCore/frmClientConfig,Client Config Form,lblDataKey.Text,データレジストリキー:,
ClientCore/frmClientConfig,Client Config Form,lblLanguage.Text,言語を選択:,
ClientCore/frmClientConfig,Client Config Form,lblRootKey.Text,ルート レジストリキー:,
ClientCore/frmClientConfig,Client Config Form,rbFile.Text,ファイルから設定を読み込む,
ClientCore/frmClientConfig,Client Config Form,rbRegistry.Text,レジストリから設定を読み込む,
ClientCore/frmClientConfig,Client Config Form,szAscending,昇順,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlInfo,設定の自動リロード,JTC:Automatic Configuration Reload
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlInfoFull,設定の自動リロードのプロパティが変更されました。変更を適用するにはサービスを再起動する必要があります。,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlSleepTimeError,入力された数値は無効です。有効なチェック間隔の数値を入力するかリストから選択してください。,
ClientCore/frmClientConfig,Client Config Form,szAutoConfigReloadFromUrlSleepTimeTitle,無効なチェック間隔,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChanged,設定の保存先が変更されました,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChangedFull1,現在の設定を別の場所に保存しますか？,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChangedFull2,注意！ 既存の設定は全て上書きされてしまいます,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationChangedFull3,設定クライアントは新しい場所から再読み込みされます。バックグラウンド サービスが新しい設定ソースを使用する前に、サービスを再起動する必要があります。クライアントの再読み込み後、ツールバーの「サービスの再起動」を使用してください。,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationServiceRestartInfo,設定の保存場所が変更されました,
ClientCore/frmClientConfig,Client Config Form,szConfigLocationServiceRestartInfoFull,設定クライアントは新しい場所から再読み込みされます。バックグラウンド サービスが新しい設定ソースを使用するには、サービスの再起動が必要です。クライアントの再読み込み後、ツールバーの「サービスの再起動」を使用してください。,
ClientCore/frmClientConfig,Client Config Form,szDescending,降順,
ClientCore/frmClientConfig,Client Config Form,szErrorInvalidUrl,エラー：URLが無効です。,
ClientCore/frmClientConfig,Client Config Form,szErrorUrlDownloadFailed,URLはエラーでダウンロードできませんでした。,
ClientCore/frmClientConfig,Client Config Form,szErrorUrlInvalid,URLは有効なURLではありません。,
ClientCore/frmClientConfig,Client Config Form,szErrorUrlNotSecure,URLはhttpsで始まる必要があります。セキュアなhttpsプロトコルのみサポートされます。,
ClientCore/frmClientConfig,Client Config Form,szValidateUrlFailure,URLは検証に失敗しました。,JTC:URL failed validation process:
ClientCore/frmClientConfig,Client Config Form,szValidateUrlSuccess,URLは検証に成功しました。,
ClientCore/frmClientConfig,Client Config Form,szValidateUrlTitle,URL 検証結果,
ClientCore/frmClientConfig,Client Config Form,tpConfigAccess.Text,設定の読み込み,
ClientCore/frmClientConfig,Client Config Form,tpGeneral.Text,全般,
ClientCore/frmConfig,Config Form,$this.Text,frmConfig,
ClientCore/frmConfig,Config Form,bCacheRandomDelay,待ち時間のランダムな遅延を有効にする,
ClientCore/frmConfig,Config Form,bCacheWaittimeDoubling,リトライ後の待ち時間を倍にする,
ClientCore/frmConfig,Config Form,btnBrowse,参照,
ClientCore/frmConfig,Config Form,btnCreateDB,データベースを作成,
ClientCore/frmConfig,Config Form,btnPostProcessImport,ルールをインポート,
ClientCore/frmConfig,Config Form,btnPostProcessSave,ルールをエクスポート,
ClientCore/frmConfig,Config Form,btnRefresh,更新,
ClientCore/frmConfig,Config Form,btnVerifyDB,データベースを確認,
ClientCore/frmConfig,Config Form,lbl_afinet,IPv4 ,
ClientCore/frmConfig,Config Form,lbl_afinet6,IPv6,
ClientCore/frmConfig,Config Form,lbl_nTimeMode_localtime,ローカルタイム,
ClientCore/frmConfig,Config Form,lbl_nTimeMode_utc,協定世界時（UTC/GMT）,
ClientCore/frmConfig,Config Form,lbl_prottcp,TCP,
ClientCore/frmConfig,Config Form,lbl_protudp,UDP,
ClientCore/frmConfig,Config Form,lbl_snmpver1,SNMP バージョン 1 のみ,
ClientCore/frmConfig,Config Form,lbl_snmpver2,SNMP バージョン ２c のみ,
ClientCore/frmConfig,Config Form,lbl_snmpverall,サポートされた全てのバージョン,
ClientCore/frmConfig,Config Form,nCacheRandomDelayTime,ランダムな遅延の最大値,
ClientCore/frmConfig,Config Form,nCacheWaittimeDoublingTimes,待ち時間を倍にする上限値,
ClientCore/frmConfig,Config Form,nDiskCacheWait,接続の待ち時間,
ClientCore/frmConfig,Config Form,nDiskQueueMaxFileSize,設定値に達した場合にファイルを分割する,
ClientCore/frmConfig,Config Form,nInetType,インターネット プロトコルタイプ,
ClientCore/frmConfig,Config Form,nListenPort,リスナー ポート,
ClientCore/frmConfig,Config Form,nOutputEncoding,出力エンコード,
ClientCore/frmConfig,Config Form,nPort,リスナー ポート,
ClientCore/frmConfig,Config Form,nPreventOverrunDelay,オーバーラン防止の遅延（ミリ秒）,
ClientCore/frmConfig,Config Form,nProtocolType,プロトコル タイプ,
ClientCore/frmConfig,Config Form,nSleepTime,プローブ 間隔,
ClientCore/frmConfig,Config Form,nSleepTime.tooltip,リストから選択、または値を直接入力し、スリープタイムをカスタマイズする,
ClientCore/frmConfig,Config Form,nSyslogFacility,Syslog ファシリティ,
ClientCore/frmConfig,Config Form,nSyslogPriority,Syslog プライオリティ,
ClientCore/frmConfig,Config Form,nTLSAllowSSLv2,SSL v2 を有効にする (脆弱),
ClientCore/frmConfig,Config Form,nTLSAllowSSLv3,SSL v3 を有効にする (脆弱),
ClientCore/frmConfig,Config Form,nTLSAllowTLS10,TLS v1.0 を有効にする (脆弱),
ClientCore/frmConfig,Config Form,nTLSAllowTLS11,TLS v1.1 を有効にする,
ClientCore/frmConfig,Config Form,nTLSAllowTLS12,TLS v1.2 を有効にする,
ClientCore/frmConfig,Config Form,nTLSAllowTLS13,TLS v1.3 を有効にする,
ClientCore/frmConfig,Config Form,nTLSMode,TLS モード,
ClientCore/frmConfig,Config Form,nTLSUseConfigurationCommands,OpenSSL 設定コマンドを使用,
ClientCore/frmConfig,Config Form,nTimeOutLimit,タイムアウトの設定,
ClientCore/frmConfig,Config Form,nUseDiscQueue,サーバーに接続できない時にディスクキューを使用する,
ClientCore/frmConfig,Config Form,szActionCacheOptions,アクション キュー オプション,JTC:Action Queue Options
ClientCore/frmConfig,Config Form,szButtonCopyLicenseClipboard,クリップボードから貼り付け,
ClientCore/frmConfig,Config Form,szCheckRegisterStatusFailed,ライセンスが無効のようです。ユーザー登録名が正しく入力されているかどうかご確認ください。,
ClientCore/frmConfig,Config Form,szCheckRegisterStatusSuccess,有効なライセンスです。,
ClientCore/frmConfig,Config Form,szCheckRegisterStatusTitle,ライセンスの確認,
ClientCore/frmConfig,Config Form,szCompressionBest,最適な圧縮,
ClientCore/frmConfig,Config Form,szCompressionLow,低い圧縮,
ClientCore/frmConfig,Config Form,szCompressionNormal,通常の圧縮,
ClientCore/frmConfig,Config Form,szCompressionSpeed,最適なスピード,
ClientCore/frmConfig,Config Form,szConfigurationCommand_,コマンド タイプ,
ClientCore/frmConfig,Config Form,szConfigurationValue_,設定パラメーター,
ClientCore/frmConfig,Config Form,szCreateDataFailure,データベース テーブル作成エラー,
ClientCore/frmConfig,Config Form,szCreateDataSuccess,データベース テーブルが作成されました,
ClientCore/frmConfig,Config Form,szCreateDataTitle,データベース テーブルを作成,
ClientCore/frmConfig,Config Form,szCreateOdbcCommandFail,SQLコマンドの実行に失敗しました,
ClientCore/frmConfig,Config Form,szCreateOdbcStatementSuccess,ステートメントが実行されました: ,
ClientCore/frmConfig,Config Form,szDataGridCopy,コピー,
ClientCore/frmConfig,Config Form,szDataGridCut,切り取り,
ClientCore/frmConfig,Config Form,szDataGridInsertProperty,プロパティを挿入...,
ClientCore/frmConfig,Config Form,szDataGridPaste,貼り付け,
ClientCore/frmConfig,Config Form,szDiskQueueDirectory,ディスクキュー ディレクトリ,
ClientCore/frmConfig,Config Form,szEncodingDefault,システムデフォルト,
