Unit,Unit Name,ID,Text,Comment
ClientCore/CTimeHelper,C Time Helper,szTime100milliseconds,100 milissegundos,
ClientCore/CTimeHelper,C Time Helper,szTime10milliseconds,10 milissegundos,
ClientCore/CTimeHelper,C Time Helper,szTime1millisecond,1 milissegundo,
ClientCore/CTimeHelper,C Time Helper,szTime250milliseconds,250 milissegundos,
ClientCore/CTimeHelper,C Time Helper,szTime500milliseconds,500 milissegundos,
ClientCore/CTimeHelper,C Time Helper,szTime50milliseconds,50 milissegundos,
ClientCore/CTimeHelper,C Time Helper,szTime5milliseconds,5 milissegundos,
ClientCore/CTimeHelper,C Time Helper,szTimeCustom,-- Personalizado --,
ClientCore/CTimeHelper,C Time Helper,szTimeDisabled,0 (desativado),
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenMinutes,15 minutos,
ClientCore/CTimeHelper,C Time Helper,szTimeFifteenSecond,15 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveMinutes,5 minutos,
ClientCore/CTimeHelper,C Time Helper,szTimeFiveSecond,5 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeFortyFiveSecond,45 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeHalfHour,30 minutos,
ClientCore/CTimeHelper,C Time Helper,szTimeOneHour,1 hora,
ClientCore/CTimeHelper,C Time Helper,szTimeOneMinute,1 minuto,
ClientCore/CTimeHelper,C Time Helper,szTimeOneSecond,1 segundo,
ClientCore/CTimeHelper,C Time Helper,szTimeSixHours,6 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTenSecond,10 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeThirtySecond,30 segundos,
ClientCore/CTimeHelper,C Time Helper,szTimeThreeHours,3 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTwelveHours,12 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTwentyFourHours,24 horas,
ClientCore/CTimeHelper,C Time Helper,szTimeTwoHours,2 horas,
ClientCore/CTimeHelper,C Time Helper,szUnitHour,horas,
ClientCore/CTimeHelper,C Time Helper,szUnitMilliSecond,milissegundos,
ClientCore/CTimeHelper,C Time Helper,szUnitMinute,minutos,
ClientCore/CTimeHelper,C Time Helper,szUnitSecond,segundos,
ClientCore/extIPAddressTextBox,ext IP Address Text Box,$this.Name,IPAddressTextBox,
ClientCore/frmAboutTemplate,About Template Form,$this.Text,frmAbout,
ClientCore/frmAboutTemplate,About Template Form,lblClient.Text,Versão do cliente:,
ClientCore/frmAboutTemplate,About Template Form,lblClientVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblLink.Text,www.product.com,
ClientCore/frmAboutTemplate,About Template Form,lblMoreInformation.Text,Mais informações em,
ClientCore/frmAboutTemplate,About Template Form,lblService.Text,Versão do serviço:,
ClientCore/frmAboutTemplate,About Template Form,lblServiceVersion.Text,1.x,
ClientCore/frmAboutTemplate,About Template Form,lblTitle.Text,Sobre [Product],
ClientCore/frmAddRule,Add Rule Form,$this.Text,Add Rule,
ClientCore/frmAddRule,Add Rule Form,cmdCancel.Text,Cancelar,
ClientCore/frmAddRule,Add Rule Form,cmdOK.Text,OK,
ClientCore/frmAddRule,Add Rule Form,frmAddRule.Text,Adicionar regra,
ClientCore/frmAddRule,Add Rule Form,lblAfterRuleAdded.Text,Depois que a regra for adicionada...,
ClientCore/frmAddRule,Add Rule Form,lblExample.Text,Por exemplo MyRule ou Rule1,
ClientCore/frmAddRule,Add Rule Form,lblName.Text,Digite o nome da nova regra,
ClientCore/frmAddRule,Add Rule Form,lblTitle.Text,Adicionando uma nova regra...,
ClientCore/frmAddRule,Add Rule Form,rdAddActions.Text,Adicione as ações selecionadas à regra.,
ClientCore/frmAddRule,Add Rule Form,rdNoActions.Text,Não adicionar nenhuma ação ainda.,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleName,Erro no nome da regra,
ClientCore/frmAddRule,Add Rule Form,szErrorRuleNameMsg,Erro: o nome da regra é muito curto.,
ClientCore/frmAddRuleSet,Add Rule Set Form,$this.Text,Add RuleSet,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdCancel.Text,Cancelar,
ClientCore/frmAddRuleSet,Add Rule Set Form,cmdOK.Text,OK,
ClientCore/frmAddRuleSet,Add Rule Set Form,frmAddRuleSet.Text,Adicionar conjunto de regras,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblAfterRuleSet.Text,Depois que o conjunto de regras for adicionado...,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblExample.Text,Por exemplo MyRuleSet ou RuleSet1,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblName.Text,Digite o nome do novo conjunto de regras,
ClientCore/frmAddRuleSet,Add Rule Set Form,lblTitle.Text,Adicionando um novo conjunto de regras...,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdNoRule.Text,Não adicionar uma regra ainda.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdRulePerAction.Text,Adicione uma regra para cada uma dessas ações.,
ClientCore/frmAddRuleSet,Add Rule Set Form,rdSingleRule.Text,Adicione uma única regra com estas ações.,
